# Згенеровано tool/build_emoji_font.py — руками не правити.
# Джерело: емодзі-літерали в lib/**/*.dart, звірені з cmap Noto.
# Гліфів: 159

231A  # ⌚
2600  # ☀
2615  # ☕
267B  # ♻
26A1  # ⚡
26BD  # ⚽
26FD  # ⛽
2702  # ✂
2708  # ✈
2753  # ❓
2764  # ❤
2795  # ➕
2B50  # ⭐
1F17F  # 🅿
1F302  # 🌂
1F30D  # 🌍
1F319  # 🌙
1F321  # 🌡
1F327  # 🌧
1F32D  # 🌭
1F32E  # 🌮
1F33B  # 🌻
1F347  # 🍇
1F34C  # 🍌
1F34E  # 🍎
1F353  # 🍓
1F354  # 🍔
1F355  # 🍕
1F357  # 🍗
1F35C  # 🍜
1F35D  # 🍝
1F35E  # 🍞
1F363  # 🍣
1F366  # 🍦
1F369  # 🍩
1F36B  # 🍫
1F370  # 🍰
1F371  # 🍱
1F375  # 🍵
1F377  # 🍷
1F37A  # 🍺
1F37D  # 🍽
1F381  # 🎁
1F382  # 🎂
1F389  # 🎉
1F393  # 🎓
1F39F  # 🎟
1F3A1  # 🎡
1F3A3  # 🎣
1F3A4  # 🎤
1F3A7  # 🎧
1F3A8  # 🎨
1F3AC  # 🎬
1F3AD  # 🎭
1F3AE  # 🎮
1F3AF  # 🎯
1F3B2  # 🎲
1F3B3  # 🎳
1F3B8  # 🎸
1F3BE  # 🎾
1F3C3  # 🏃
1F3CA  # 🏊
1F3CB  # 🏋
1F3CD  # 🏍
1F3D5  # 🏕
1F3D6  # 🏖
1F3E0  # 🏠
1F3E6  # 🏦
1F3F7  # 🏷
1F41F  # 🐟
1F431  # 🐱
1F436  # 🐶
1F43E  # 🐾
1F453  # 👓
1F455  # 👕
1F457  # 👗
1F45C  # 👜
1F45F  # 👟
1F476  # 👶
1F484  # 💄
1F485  # 💅
1F487  # 💇
1F48A  # 💊
1F48D  # 💍
1F48E  # 💎
1F4A1  # 💡
1F4A7  # 💧
1F4B0  # 💰
1F4B3  # 💳
1F4B5  # 💵
1F4BB  # 💻
1F4BC  # 💼
1F4C8  # 📈
1F4C9  # 📉
1F4CA  # 📊
1F4CC  # 📌
1F4CE  # 📎
1F4D6  # 📖
1F4DA  # 📚
1F4E6  # 📦
1F4F1  # 📱
1F4F7  # 📷
1F504  # 🔄
1F50C  # 🔌
1F511  # 🔑
1F514  # 🔔
1F525  # 🔥
1F527  # 🔧
1F528  # 🔨
1F58A  # 🖊
1F5A5  # 🖥
1F5A8  # 🖨
1F5C2  # 🗂
1F642  # 🙂
1F684  # 🚄
1F687  # 🚇
1F68B  # 🚋
1F68C  # 🚌
1F695  # 🚕
1F697  # 🚗
1F6A2  # 🚢
1F6B2  # 🚲
1F6B4  # 🚴
1F6CB  # 🛋
1F6CF  # 🛏
1F6D2  # 🛒
1F6DE  # 🛞
1F6E0  # 🛠
1F6E1  # 🛡
1F6F4  # 🛴
1F91D  # 🤝
1F94A  # 🥊
1F950  # 🥐
1F955  # 🥕
1F957  # 🥗
1F95A  # 🥚
1F964  # 🥤
1F969  # 🥩
1F96A  # 🥪
1F9B7  # 🦷
1F9C0  # 🧀
1F9CB  # 🧋
1F9D2  # 🧒
1F9D6  # 🧖
1F9D8  # 🧘
1F9E2  # 🧢
1F9E5  # 🧥
1F9EC  # 🧬
1F9F3  # 🧳
1F9F4  # 🧴
1F9F9  # 🧹
1F9FA  # 🧺
1F9FC  # 🧼
1F9FE  # 🧾
1FA79  # 🩹
1FA7A  # 🩺
1FA91  # 🪑
1FA99  # 🪙
1FAB4  # 🪴
